language,configuration,endpoint,container_id,host,targetRPS,CPU,experiment_id
go,otel,db,2b5744821f00fc2da55a26c303d9f3a53e9ef52d71f275cf96a11093759f3690,go-otel,300,,efb5e996-28df-432d-8250-b35461ad15b2
java,elastic,queries,0de53fb1854819d3efa035c407945157fa3425cd93b1622fdbcec649b14d8213,java-elastic,,350,efb5e996-28df-432d-8250-b35461ad15b2
go,elastic,db,265d19fa261f52289377ebb0ab4b5b044fe675a0249dfda6cd45d3e58b1c8d41,go-elastic,350,,efb5e996-28df-432d-8250-b35461ad15b2
java,elastic,updates,0de53fb1854819d3efa035c407945157fa3425cd93b1622fdbcec649b14d8213,java-elastic,900,,efb5e996-28df-432d-8250-b35461ad15b2
go,standard,json,6851d3462dc05b942cee31723d914b95d06e5484f834bad6d54b2414012397a7,go-standard,3850,,efb5e996-28df-432d-8250-b35461ad15b2
java,standard,updates,8a4078997129643b3569c28a30a1d07afcdee50b71fdc3eac7b458826d760930,java-standard,1250,,efb5e996-28df-432d-8250-b35461ad15b2
python,elastic,updates,a3eb8215ce64c4afed2ba6975936b59df35ab3c1b6376f1bcc7887390f5579d2,python-elastic,100,,efb5e996-28df-432d-8250-b35461ad15b2
go,standard,updates,6851d3462dc05b942cee31723d914b95d06e5484f834bad6d54b2414012397a7,go-standard,200,,efb5e996-28df-432d-8250-b35461ad15b2
python,standard,json,1df8a07e14f25ce7e8dd7d3c93e82d45a91e103abc2feb2b0f2822ae47339bbc,python-standard,400,,efb5e996-28df-432d-8250-b35461ad15b2
go,otel,json,2b5744821f00fc2da55a26c303d9f3a53e9ef52d71f275cf96a11093759f3690,go-otel,1850,,efb5e996-28df-432d-8250-b35461ad15b2
go,elastic,json,265d19fa261f52289377ebb0ab4b5b044fe675a0249dfda6cd45d3e58b1c8d41,go-elastic,2050,,efb5e996-28df-432d-8250-b35461ad15b2
python,standard,updates,1df8a07e14f25ce7e8dd7d3c93e82d45a91e103abc2feb2b0f2822ae47339bbc,python-standard,150,,efb5e996-28df-432d-8250-b35461ad15b2
go,otel,queries,2b5744821f00fc2da55a26c303d9f3a53e9ef52d71f275cf96a11093759f3690,go-otel,200,,efb5e996-28df-432d-8250-b35461ad15b2
java,otel,json,f2ed7dd5bf6ddb9897b988ff68e552cba3b0fdb085274b4a2fa3a46499b0aaf7,java-otel,2850,,efb5e996-28df-432d-8250-b35461ad15b2
python,otel,db,ca44381d7ea772c7da307d660663a94e6b8f66f021ffd869ecedcb397410800a,python-otel,250,,efb5e996-28df-432d-8250-b35461ad15b2
java,standard,json,8a4078997129643b3569c28a30a1d07afcdee50b71fdc3eac7b458826d760930,java-standard,4050,,efb5e996-28df-432d-8250-b35461ad15b2
python,standard,queries,1df8a07e14f25ce7e8dd7d3c93e82d45a91e103abc2feb2b0f2822ae47339bbc,python-standard,50,,efb5e996-28df-432d-8250-b35461ad15b2
java,otel,updates,f2ed7dd5bf6ddb9897b988ff68e552cba3b0fdb085274b4a2fa3a46499b0aaf7,java-otel,900,,efb5e996-28df-432d-8250-b35461ad15b2
go,standard,db,6851d3462dc05b942cee31723d914b95d06e5484f834bad6d54b2414012397a7,go-standard,250,,efb5e996-28df-432d-8250-b35461ad15b2
python,elastic,json,a3eb8215ce64c4afed2ba6975936b59df35ab3c1b6376f1bcc7887390f5579d2,python-elastic,200,,efb5e996-28df-432d-8250-b35461ad15b2
python,elastic,db,a3eb8215ce64c4afed2ba6975936b59df35ab3c1b6376f1bcc7887390f5579d2,python-elastic,100,,efb5e996-28df-432d-8250-b35461ad15b2
go,elastic,updates,265d19fa261f52289377ebb0ab4b5b044fe675a0249dfda6cd45d3e58b1c8d41,go-elastic,200,,efb5e996-28df-432d-8250-b35461ad15b2
java,elastic,db,0de53fb1854819d3efa035c407945157fa3425cd93b1622fdbcec649b14d8213,java-elastic,1550,,efb5e996-28df-432d-8250-b35461ad15b2
java,elastic,json,0de53fb1854819d3efa035c407945157fa3425cd93b1622fdbcec649b14d8213,java-elastic,2050,,efb5e996-28df-432d-8250-b35461ad15b2
python,otel,json,ca44381d7ea772c7da307d660663a94e6b8f66f021ffd869ecedcb397410800a,python-otel,250,,efb5e996-28df-432d-8250-b35461ad15b2
go,otel,updates,2b5744821f00fc2da55a26c303d9f3a53e9ef52d71f275cf96a11093759f3690,go-otel,200,,efb5e996-28df-432d-8250-b35461ad15b2
python,standard,db,1df8a07e14f25ce7e8dd7d3c93e82d45a91e103abc2feb2b0f2822ae47339bbc,python-standard,200,,efb5e996-28df-432d-8250-b35461ad15b2
python,elastic,queries,a3eb8215ce64c4afed2ba6975936b59df35ab3c1b6376f1bcc7887390f5579d2,python-elastic,25,,efb5e996-28df-432d-8250-b35461ad15b2
java,standard,db,8a4078997129643b3569c28a30a1d07afcdee50b71fdc3eac7b458826d760930,java-standard,2000,,efb5e996-28df-432d-8250-b35461ad15b2
python,otel,queries,ca44381d7ea772c7da307d660663a94e6b8f66f021ffd869ecedcb397410800a,python-otel,50,,efb5e996-28df-432d-8250-b35461ad15b2
java,otel,db,f2ed7dd5bf6ddb9897b988ff68e552cba3b0fdb085274b4a2fa3a46499b0aaf7,java-otel,1450,,efb5e996-28df-432d-8250-b35461ad15b2
python,otel,updates,ca44381d7ea772c7da307d660663a94e6b8f66f021ffd869ecedcb397410800a,python-otel,125,,efb5e996-28df-432d-8250-b35461ad15b2
java,standard,queries,8a4078997129643b3569c28a30a1d07afcdee50b71fdc3eac7b458826d760930,java-standard,450,,efb5e996-28df-432d-8250-b35461ad15b2
go,elastic,queries,265d19fa261f52289377ebb0ab4b5b044fe675a0249dfda6cd45d3e58b1c8d41,go-elastic,150,,efb5e996-28df-432d-8250-b35461ad15b2
java,otel,queries,f2ed7dd5bf6ddb9897b988ff68e552cba3b0fdb085274b4a2fa3a46499b0aaf7,java-otel,350,,efb5e996-28df-432d-8250-b35461ad15b2
go,standard,queries,6851d3462dc05b942cee31723d914b95d06e5484f834bad6d54b2414012397a7,go-standard,150,,efb5e996-28df-432d-8250-b35461ad15b2
python,elastic,updates,a3eb8215ce64c4afed2ba6975936b59df35ab3c1b6376f1bcc7887390f5579d2,python-elastic,100,,c4d412fb-5121-4542-b7dd-b3c117bd4901
python,otel,updates,ca44381d7ea772c7da307d660663a94e6b8f66f021ffd869ecedcb397410800a,python-otel,125,,c4d412fb-5121-4542-b7dd-b3c117bd4901
java,elastic,db,0de53fb1854819d3efa035c407945157fa3425cd93b1622fdbcec649b14d8213,java-elastic,1450,,c4d412fb-5121-4542-b7dd-b3c117bd4901
go,otel,json,2b5744821f00fc2da55a26c303d9f3a53e9ef52d71f275cf96a11093759f3690,go-otel,1825,,c4d412fb-5121-4542-b7dd-b3c117bd4901
go,otel,queries,2b5744821f00fc2da55a26c303d9f3a53e9ef52d71f275cf96a11093759f3690,go-otel,150,,c4d412fb-5121-4542-b7dd-b3c117bd4901
python,otel,json,ca44381d7ea772c7da307d660663a94e6b8f66f021ffd869ecedcb397410800a,python-otel,250,,c4d412fb-5121-4542-b7dd-b3c117bd4901
java,otel,queries,f2ed7dd5bf6ddb9897b988ff68e552cba3b0fdb085274b4a2fa3a46499b0aaf7,java-otel,350,,c4d412fb-5121-4542-b7dd-b3c117bd4901
java,otel,json,f2ed7dd5bf6ddb9897b988ff68e552cba3b0fdb085274b4a2fa3a46499b0aaf7,java-otel,3050,,c4d412fb-5121-4542-b7dd-b3c117bd4901
java,standard,queries,8a4078997129643b3569c28a30a1d07afcdee50b71fdc3eac7b458826d760930,java-standard,450,,c4d412fb-5121-4542-b7dd-b3c117bd4901
python,otel,db,ca44381d7ea772c7da307d660663a94e6b8f66f021ffd869ecedcb397410800a,python-otel,150,,c4d412fb-5121-4542-b7dd-b3c117bd4901
python,elastic,db,a3eb8215ce64c4afed2ba6975936b59df35ab3c1b6376f1bcc7887390f5579d2,python-elastic,100,,c4d412fb-5121-4542-b7dd-b3c117bd4901
go,standard,db,6851d3462dc05b942cee31723d914b95d06e5484f834bad6d54b2414012397a7,go-standard,300,,c4d412fb-5121-4542-b7dd-b3c117bd4901
go,elastic,json,265d19fa261f52289377ebb0ab4b5b044fe675a0249dfda6cd45d3e58b1c8d41,go-elastic,2250,,c4d412fb-5121-4542-b7dd-b3c117bd4901
java,otel,updates,f2ed7dd5bf6ddb9897b988ff68e552cba3b0fdb085274b4a2fa3a46499b0aaf7,java-otel,850,,c4d412fb-5121-4542-b7dd-b3c117bd4901
java,standard,json,8a4078997129643b3569c28a30a1d07afcdee50b71fdc3eac7b458826d760930,java-standard,3850,,c4d412fb-5121-4542-b7dd-b3c117bd4901
java,elastic,json,0de53fb1854819d3efa035c407945157fa3425cd93b1622fdbcec649b14d8213,java-elastic,2250,,c4d412fb-5121-4542-b7dd-b3c117bd4901
go,standard,updates,6851d3462dc05b942cee31723d914b95d06e5484f834bad6d54b2414012397a7,go-standard,200,,c4d412fb-5121-4542-b7dd-b3c117bd4901
go,otel,updates,2b5744821f00fc2da55a26c303d9f3a53e9ef52d71f275cf96a11093759f3690,go-otel,200,,c4d412fb-5121-4542-b7dd-b3c117bd4901
go,elastic,updates,265d19fa261f52289377ebb0ab4b5b044fe675a0249dfda6cd45d3e58b1c8d41,go-elastic,200,,c4d412fb-5121-4542-b7dd-b3c117bd4901
java,otel,db,f2ed7dd5bf6ddb9897b988ff68e552cba3b0fdb085274b4a2fa3a46499b0aaf7,java-otel,1350,,c4d412fb-5121-4542-b7dd-b3c117bd4901
java,standard,db,8a4078997129643b3569c28a30a1d07afcdee50b71fdc3eac7b458826d760930,java-standard,1850,,c4d412fb-5121-4542-b7dd-b3c117bd4901
java,standard,updates,8a4078997129643b3569c28a30a1d07afcdee50b71fdc3eac7b458826d760930,java-standard,1150,,c4d412fb-5121-4542-b7dd-b3c117bd4901
python,standard,queries,1df8a07e14f25ce7e8dd7d3c93e82d45a91e103abc2feb2b0f2822ae47339bbc,python-standard,50,,c4d412fb-5121-4542-b7dd-b3c117bd4901
python,standard,updates,1df8a07e14f25ce7e8dd7d3c93e82d45a91e103abc2feb2b0f2822ae47339bbc,python-standard,150,,c4d412fb-5121-4542-b7dd-b3c117bd4901
python,standard,db,1df8a07e14f25ce7e8dd7d3c93e82d45a91e103abc2feb2b0f2822ae47339bbc,python-standard,175,,c4d412fb-5121-4542-b7dd-b3c117bd4901
python,otel,queries,ca44381d7ea772c7da307d660663a94e6b8f66f021ffd869ecedcb397410800a,python-otel,50,,c4d412fb-5121-4542-b7dd-b3c117bd4901
go,otel,db,2b5744821f00fc2da55a26c303d9f3a53e9ef52d71f275cf96a11093759f3690,go-otel,250,,c4d412fb-5121-4542-b7dd-b3c117bd4901
python,standard,json,1df8a07e14f25ce7e8dd7d3c93e82d45a91e103abc2feb2b0f2822ae47339bbc,python-standard,375,,c4d412fb-5121-4542-b7dd-b3c117bd4901
go,standard,json,6851d3462dc05b942cee31723d914b95d06e5484f834bad6d54b2414012397a7,go-standard,4225,,c4d412fb-5121-4542-b7dd-b3c117bd4901
java,elastic,queries,0de53fb1854819d3efa035c407945157fa3425cd93b1622fdbcec649b14d8213,java-elastic,350,,c4d412fb-5121-4542-b7dd-b3c117bd4901
java,elastic,updates,0de53fb1854819d3efa035c407945157fa3425cd93b1622fdbcec649b14d8213,java-elastic,900,,c4d412fb-5121-4542-b7dd-b3c117bd4901
python,elastic,json,a3eb8215ce64c4afed2ba6975936b59df35ab3c1b6376f1bcc7887390f5579d2,python-elastic,200,c4d412fb-5121-4542-b7dd-b3c117bd4901
go,elastic,queries,265d19fa261f52289377ebb0ab4b5b044fe675a0249dfda6cd45d3e58b1c8d41,go-elastic,200,c4d41,2fb-5121-4542-b7dd-b3c117bd4901
python,elastic,queries,a3eb8215ce64c4afed2ba6975936b59df35ab3c1b6376f1bcc7887390f5579d2,python-elastic,25,,c4d412fb-5121-4542-b7dd-b3c117bd4901
go,elastic,db,265d19fa261f52289377ebb0ab4b5b044fe675a0249dfda6cd45d3e58b1c8d41,go-elastic,250,,c4d412fb-5121-4542-b7dd-b3c117bd4901
go,standard,queries,6851d3462dc05b942cee31723d914b95d06e5484f834bad6d54b2414012397a7,go-standard,200,,c4d412fb-5121-4542-b7dd-b3c117bd4901
go,standard,queries,6851d3462dc05b942cee31723d914b95d06e5484f834bad6d54b2414012397a7,go-standard,150,100.87339981118089,3d428c5e-6569-4924-9000-303981b44151
python,elastic,updates,a3eb8215ce64c4afed2ba6975936b59df35ab3c1b6376f1bcc7887390f5579d2,python-elastic,100,82.0181512690906,3d428c5e-6569-4924-9000-303981b44151
java,elastic,queries,0de53fb1854819d3efa035c407945157fa3425cd93b1622fdbcec649b14d8213,java-elastic,350,101.82789795239158,3d428c5e-6569-4924-9000-303981b44151
python,standard,queries,1df8a07e14f25ce7e8dd7d3c93e82d45a91e103abc2feb2b0f2822ae47339bbc,python-standard,50,90.29686016358187,3d428c5e-6569-4924-9000-303981b44151
python,otel,updates,ca44381d7ea772c7da307d660663a94e6b8f66f021ffd869ecedcb397410800a,python-otel,125,81.75585369220295,3d428c5e-6569-4924-9000-303981b44151
go,standard,json,6851d3462dc05b942cee31723d914b95d06e5484f834bad6d54b2414012397a7,go-standard,4025,79.0732377437185,3d428c5e-6569-4924-9000-303981b44151
python,standard,db,1df8a07e14f25ce7e8dd7d3c93e82d45a91e103abc2feb2b0f2822ae47339bbc,python-standard,225,89.96739404580674,3d428c5e-6569-4924-9000-303981b44151
python,otel,queries,ca44381d7ea772c7da307d660663a94e6b8f66f021ffd869ecedcb397410800a,python-otel,50,99.29228011360537,3d428c5e-6569-4924-9000-303981b44151
java,otel,queries,f2ed7dd5bf6ddb9897b988ff68e552cba3b0fdb085274b4a2fa3a46499b0aaf7,java-otel,350,101.89439878591828,3d428c5e-6569-4924-9000-303981b44151
java,standard,updates,8a4078997129643b3569c28a30a1d07afcdee50b71fdc3eac7b458826d760930,java-standard,1150,77.07883272293829,3d428c5e-6569-4924-9000-303981b44151
python,standard,json,1df8a07e14f25ce7e8dd7d3c93e82d45a91e103abc2feb2b0f2822ae47339bbc,python-standard,400,80.11748096038565,3d428c5e-6569-4924-9000-303981b44151
java,elastic,db,0de53fb1854819d3efa035c407945157fa3425cd93b1622fdbcec649b14d8213,java-elastic,1400,75.1136300292928,3d428c5e-6569-4924-9000-303981b44151
java,standard,queries,8a4078997129643b3569c28a30a1d07afcdee50b71fdc3eac7b458826d760930,java-standard,450,94.31608983623214,3d428c5e-6569-4924-9000-303981b44151
go,elastic,db,265d19fa261f52289377ebb0ab4b5b044fe675a0249dfda6cd45d3e58b1c8d41,go-elastic,250,99.78492260874219,3d428c5e-6569-4924-9000-303981b44151
go,otel,updates,2b5744821f00fc2da55a26c303d9f3a53e9ef52d71f275cf96a11093759f3690,go-otel,200,100.49237797133301,3d428c5e-6569-4924-9000-303981b44151
java,otel,updates,f2ed7dd5bf6ddb9897b988ff68e552cba3b0fdb085274b4a2fa3a46499b0aaf7,java-otel,950,80.32256488725228,3d428c5e-6569-4924-9000-303981b44151
python,standard,updates,1df8a07e14f25ce7e8dd7d3c93e82d45a91e103abc2feb2b0f2822ae47339bbc,python-standard,175,80.56320601529973,3d428c5e-6569-4924-9000-303981b44151
python,otel,json,ca44381d7ea772c7da307d660663a94e6b8f66f021ffd869ecedcb397410800a,python-otel,225,75.18897466951799,3d428c5e-6569-4924-9000-303981b44151
python,elastic,db,a3eb8215ce64c4afed2ba6975936b59df35ab3c1b6376f1bcc7887390f5579d2,python-elastic,100,77.04327458252108,3d428c5e-6569-4924-9000-303981b44151
go,elastic,queries,265d19fa261f52289377ebb0ab4b5b044fe675a0249dfda6cd45d3e58b1c8d41,go-elastic,150,102.02856968091373,3d428c5e-6569-4924-9000-303981b44151
java,otel,json,f2ed7dd5bf6ddb9897b988ff68e552cba3b0fdb085274b4a2fa3a46499b0aaf7,java-otel,3050,78.66247926735961,3d428c5e-6569-4924-9000-303981b44151
